<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CNYRUB_TOM,D,111120,000000,11.5752000,11.6629000,11.5021000,11.6520000,54301000
CNYRUB_TOM,D,121120,000000,11.6919000,11.7119000,11.5921000,11.7040000,57613000
CNYRUB_TOM,D,131120,000000,11.6939000,11.7559000,11.6621000,11.7250000,40782000
CNYRUB_TOM,D,161120,000000,11.7200000,11.7439000,11.5841000,11.6040000,52012000
CNYRUB_TOM,D,171120,000000,11.6359000,11.7019000,11.6079000,11.6580000,47001000
CNYRUB_TOM,D,181120,000000,11.6709000,11.6719000,11.5479000,11.5800000,138178000
CNYRUB_TOM,D,191120,000000,11.6030000,11.6335000,11.5731000,11.5880000,61187000
CNYRUB_TOM,D,201120,000000,11.5880000,11.6409000,11.5588000,11.6350000,37443000
CNYRUB_TOM,D,231120,000000,11.5800000,11.6200000,11.5181000,11.5830000,125910000
CNYRUB_TOM,D,241120,000000,11.5309000,11.5804000,11.4500000,11.4760000,66683000
CNYRUB_TOM,D,251120,000000,11.4749000,11.5529000,11.4581000,11.5200000,105779000
CNYRUB_TOM,D,261120,000000,11.4961000,11.5379000,11.4801000,11.5260000,254181000
CNYRUB_TOM,D,271120,000000,11.5079000,11.6155000,11.5021000,11.5500000,54596000
CNYRUB_TOM,D,301120,000000,11.5849000,11.6399000,11.5493000,11.6029000,46812000
CNYRUB_TOM,D,011220,000000,11.6041000,11.6529000,11.5200000,11.5870000,93051000
CNYRUB_TOM,D,021220,000000,11.5730000,11.5869000,11.4650000,11.4820000,131129000
CNYRUB_TOM,D,031220,000000,11.4840000,11.5142000,11.3700000,11.3920000,310186000
CNYRUB_TOM,D,041220,000000,11.3960000,11.4085000,11.3250000,11.3716000,586571000
CNYRUB_TOM,D,071220,000000,11.3839000,11.4027000,11.2514000,11.2972000,507504000
CNYRUB_TOM,D,081220,000000,11.2935000,11.3215000,11.2120000,11.2790000,640719000
CNYRUB_TOM,D,091220,000000,11.2627000,11.3379000,11.2298000,11.3142000,80865000
CNYRUB_TOM,D,101220,000000,11.2830000,11.3039000,11.1574000,11.1660000,80810000
CNYRUB_TOM,D,111220,000000,11.1841000,11.2371000,11.1500000,11.1500000,130443000
CNYRUB_TOM,D,141220,000000,11.1774000,11.3283000,11.1679000,11.3089000,126452000
CNYRUB_TOM,D,151220,000000,11.2562000,11.2961000,11.2200000,11.2658000,64661000
CNYRUB_TOM,D,161220,000000,11.2421000,11.3174000,11.2421000,11.2587000,64323000
CNYRUB_TOM,D,171220,000000,11.2439000,11.2439000,11.1667000,11.1960000,101725000
CNYRUB_TOM,D,181220,000000,11.2004000,11.3419000,11.1946000,11.2517000,64345000
CNYRUB_TOM,D,211220,000000,11.3440000,11.5193000,11.3440000,11.4220000,109162000
CNYRUB_TOM,D,221220,000000,11.5163000,11.6054000,11.4700000,11.6046000,87704000
CNYRUB_TOM,D,231220,000000,11.6039000,11.6039000,11.4480000,11.5080000,181761000
CNYRUB_TOM,D,241220,000000,11.5162000,11.5269000,11.3330000,11.3330000,106565000
CNYRUB_TOM,D,251220,000000,11.0501000,11.5999000,11.0501000,11.3930000,52031000
CNYRUB_TOM,D,281220,000000,11.3342000,11.3556000,11.2700000,11.2956000,146552000
CNYRUB_TOM,D,291220,000000,11.2941000,11.3720000,11.2601000,11.3720000,214091000
CNYRUB_TOM,D,301220,000000,11.3320000,11.5159000,11.3161000,11.4480000,58034000
CNYRUB_TOM,D,040121,000000,11.4660000,11.5120000,11.3280000,11.5020000,29061000
CNYRUB_TOM,D,050121,000000,11.5365000,11.6639000,11.4700000,11.5100000,26548000
CNYRUB_TOM,D,060121,000000,11.4456000,11.5004000,11.4100000,11.4640000,29617000
CNYRUB_TOM,D,080121,000000,11.4780000,11.5613000,11.4425000,11.4680000,12122000
CNYRUB_TOM,D,110121,000000,11.4966000,11.5639000,11.4731000,11.5300000,74169000
CNYRUB_TOM,D,120121,000000,11.5200000,11.5200000,11.3939000,11.4100000,74373000
CNYRUB_TOM,D,130121,000000,11.3901000,11.4479000,11.3726000,11.3940000,55970000
CNYRUB_TOM,D,140121,000000,11.4102000,11.4494000,11.3081000,11.3350000,49071000
CNYRUB_TOM,D,150121,000000,11.3521000,11.3949000,11.3121000,11.3470000,89147000
CNYRUB_TOM,D,180121,000000,11.4046000,11.4339000,11.3671000,11.3915000,35120000
CNYRUB_TOM,D,190121,000000,11.3709000,11.4079000,11.3400000,11.3740000,28496000
CNYRUB_TOM,D,200121,000000,11.3679000,11.3904000,11.3265000,11.3810000,19728000
CNYRUB_TOM,D,210121,000000,11.3545000,11.4500000,11.3400000,11.4235000,65781000
CNYRUB_TOM,D,220121,000000,11.4584000,11.6000000,11.4500000,11.5810000,113304000
CNYRUB_TOM,D,250121,000000,11.5104000,11.6729000,11.5041000,11.6205000,179491000
CNYRUB_TOM,D,260121,000000,11.6669000,11.6839000,11.5820000,11.6050000,256013000
CNYRUB_TOM,D,270121,000000,11.5726000,11.7049000,11.5699000,11.6830000,209543000
CNYRUB_TOM,D,280121,000000,11.6879000,11.7989000,11.6879000,11.7490000,508764000
CNYRUB_TOM,D,290121,000000,11.7834000,11.8199000,11.6881000,11.7500000,377556000
CNYRUB_TOM,D,010221,000000,11.7160000,11.7659000,11.6543000,11.7620000,75902000
CNYRUB_TOM,D,020221,000000,11.7321000,11.8120000,11.6641000,11.8120000,51453000
CNYRUB_TOM,D,030221,000000,11.7739000,11.7961000,11.7261000,11.7500000,50018000
CNYRUB_TOM,D,040221,000000,11.7561000,11.7657000,11.6461000,11.6750000,43804000
CNYRUB_TOM,D,050221,000000,11.6360000,11.6360000,11.5242000,11.5680000,35804000
CNYRUB_TOM,D,080221,000000,11.5241000,11.5629000,11.4940000,11.5300000,44838000
CNYRUB_TOM,D,090221,000000,11.4959000,11.5559000,11.4941000,11.5161000,72741000
CNYRUB_TOM,D,100221,000000,11.4921000,11.5359000,11.4780000,11.5100000,45480000
CNYRUB_TOM,D,110221,000000,11.5021000,11.5219000,11.4681000,11.4780000,30070000
CNYRUB_TOM,D,120221,000000,11.4959000,11.5856000,11.4580000,11.4880000,64986000
CNYRUB_TOM,D,150221,000000,11.4539000,11.4719000,11.4300000,11.4621000,43355000
CNYRUB_TOM,D,160221,000000,11.4439000,11.4942000,11.4165000,11.4580000,44603000
CNYRUB_TOM,D,170221,000000,11.4462000,11.5081000,11.4230000,11.4510000,60462000
CNYRUB_TOM,D,180221,000000,11.4479000,11.4719000,11.3988000,11.4340000,160527000
CNYRUB_TOM,D,190221,000000,11.4609000,11.4840000,11.4436000,11.4670000,52873000
CNYRUB_TOM,D,200221,000000,11.1651000,11.6920000,11.1651000,11.4701000,20653000
CNYRUB_TOM,D,220221,000000,11.4828000,11.6000000,11.4700000,11.4861000,5762000
CNYRUB_TOM,D,240221,000000,11.4441000,11.4609000,11.3921000,11.4050000,72339000
CNYRUB_TOM,D,250221,000000,11.3879000,11.5200000,11.3859000,11.5170000,121076000
CNYRUB_TOM,D,260221,000000,11.5414000,11.5664000,11.4697000,11.5060000,173835000
CNYRUB_TOM,D,010321,000000,11.5005000,11.5015000,11.4200000,11.4700000,39319000
CNYRUB_TOM,D,020321,000000,11.4829000,11.5300000,11.3634000,11.3945000,147223000
